dataset,speaker,annotator,source,s_coda,r_coda,dt_palat,gold,notes,updated_at
alcaim,AdrianaMalta_F049,Pedro,human,chiado,carioca,palatalized,0,,2026-05-02 14:26:26
alcaim,Aislam_M001,Luiz Wagner Pereira Biscainho,human,chiado,carioca,palatalized,0,,2026-05-03 11:58:13
alcaim,Alcione_F018,Pedro H,human,chiado,,,0,subset_audio,2026-05-13 11:31:54
alcaim,AnaVarela_F042,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
alcaim,Anesia_F040,Pedro H,human,chiado,,,0,subset_audio,2026-05-13 11:31:54
alcaim,Custodia_F033,Pedro H,human,chiado,,,0,subset_audio,2026-05-13 11:31:54
alcaim,Diego_M026,Pedro H,human,chiado,,,0,subset_audio,2026-05-13 11:31:54
alcaim,EduardoPereira_M016,Pedro H,human,chiado,,,0,subset_audio,2026-05-13 11:31:54
alcaim,EduardoTardin_M022,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
alcaim,Elson_M007,Pedro H,human,chiado,,,0,subset_audio,2026-05-13 11:31:54
alcaim,HenriqueMafra_M046,Pedro H,human,chiado,,,0,subset_audio,2026-05-13 11:31:54
alcaim,IvoneAmitrano_F000,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
alcaim,JacksonBarbosa_M048,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
alcaim,Joel_M017,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
alcaim,JonatasPortugal_M031,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
alcaim,Lila_F017,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
alcaim,Marcio_M011,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
alcaim,MarcosImbuzeiro_M036,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
alcaim,Marta_F009,Pedro H,human,sibilant,,,0,subset_audio_sibilant,2026-09-16 17:36:57
alcaim,PriscilaTerra_F004,Pedro H,human,chiado,,,0,subset_audio,2026-05-13 11:31:54
alcaim,SilvanaFerreira_F012,Pedro H,human,chiado,,,0,subset_audio,2026-05-13 11:31:54
alcaim,Tulio_M027,Pedro H,human,chiado,,,0,subset_audio,2026-05-13 11:31:54
brspeech_df,10107,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-05 22:54:42
brspeech_df,12249,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-05 22:54:22
brspeech_df,2961,Pedro H,human,chiado,carioca,palatalized,0,,2026-05-05 22:51:04
brspeech_df,4367,Pedro H,human,sibilant,carioca,palatalized,0,,2026-05-05 22:57:39
brspeech_df,5677,Pedro H,human,sibilant,caipira,palatalized,0,,2026-05-05 22:59:00
brspeech_df,5739,Pedro H,human,sibilant,caipira,non-palatalized,0,,2026-05-05 23:00:34
brspeech_df,9351,Pedro H,human,sibilant,caipira,palatalized,0,,2026-05-05 22:52:17
certas_palavras,alba_zaluar,Pedro Valadares,human,,,,0,Audios nao tocam,2026-05-03 19:30:56
certas_palavras,alex_ribeiro,Pedro Valadares,human,sibilant,tap,non-palatalized,0,"Achei um misto entre tap e caipira - train_003654.wav (parece mais tap)  e  train_020867.wav (parece mais caipira), mas acho pelo ultimo (train_008251.wav) deve ser tap.",2026-05-03 19:40:17
certas_palavras,alfredo_weiszflog,Pedro Valadares,human,sibilant,tap,non-palatalized,0,,2026-05-03 19:39:35
certas_palavras,altair_ferreira_brasil,Pedro Valadares,human,sibilant,tap,non-palatalized,0,"Alguns audio nao tocam, mas foi suficiente para marcar",2026-05-03 19:41:12
certas_palavras,alvaro_malheiros,Pedro H,human,sibilant,,,0,subset_audio_sibilant (folder: AlvaroMalheiros_CP),2026-09-16 17:36:57
certas_palavras,ana_maria_alfonso_goldfarb,Pedro Valadares,human,sibilant,tap,palatalized,0,R Predominante Tap,2026-05-03 19:42:52
cml_tts,10107,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-03 10:52:48
cml_tts,11247,Pedro H,human,sibilant,carioca,palatalized,0,,2026-05-03 10:57:49
cml_tts,12114,Pedro H,human,sibilant,carioca,palatalized,0,,2026-05-03 10:57:16
cml_tts,12249,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-03 10:53:26
cml_tts,2961,Pedro H,human,chiado,carioca,palatalized,0,,2026-05-03 10:54:34
cml_tts,4367,Pedro H,human,sibilant,carioca,palatalized,0,,2026-05-03 10:55:44
colingpb,brPB01_g2aM01_spkA,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:39:21
colingpb,brPB06_g3aF01_spkA,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:45:20
colingpb,brPB07_g2aF01_spkA,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:28:10
colingpb,brPB13_g2aM01_spkA,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:40:16
colingpb,brPB14_g3aF01_spkA,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:25:51
colingpb,brPB15_g2aF01_spkA,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:41:17
colingpb,brPB17_g2aF01_spkA,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:41:32
colingpb,brPB18_g2aM01_spkB,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:24:46
colingpb,brPB21_g2aM01_spkB,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:45:51
colingpb,brPB22_g3aF01_spkB,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:27:32
colingpb,brPB25_g2aM01_spkB,Pedro H,human,mixed,carioca,non-palatalized,0,,2026-05-05 22:29:08
common_voice,08a9a4127a6c48c2765abb502ad565699f3c449940869bbe971b1a077dff36d1546219529144ad9e57d76519e1c7d23763fd5d04c2c9f4f35346ac0dbb05fae4,Pedro Valadares,human,sibilant,carioca,palatalized,0,Predominante R falado como carioca,2026-05-03 20:11:55
common_voice,0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5,Pedro Valadares,human,sibilant,tap,palatalized,0,,2026-05-03 20:05:15
common_voice,13cc29f643e67c8227a2b9311092e9de73de30a8cf5538714151189d893372039dff33842f86a47e272d62bb0fe23a5ed667ccf11675ab2822123e38a832dc09,Pedro H,human,sibilant,tap,palatalized,0,,2026-05-03 19:59:26
common_voice,164ddff6f213b707cb52113f55a96cce5bf4fd97a91aa89c6ecbab4288f39e47b8bfec7e0fd430a6952cae33d610780dae348662b30857b177a8325016238daf,Pedro Valadares,human,sibilant,caipira,palatalized,0,,2026-05-03 19:56:48
common_voice,17406c73e150a5795228361918e675260d858302a367801e3231c56e2b10c0052e77a811fdee102e65a355b90ce9658d442459da7d00815422844f7a8ede1bef,Pedro Valadares,human,sibilant,carioca,palatalized,0,,2026-05-03 20:14:04
common_voice,2598f6df5d979e20f591be2352153e4c8eaf5eb1ed76118e4c33afe9add4b3625e4decf206286788d8837c5d871f5d62917375c6c89fbf4198e0174fa80ce17c,Pedro H,human,sibilant,caipira,palatalized,0,,2026-05-03 19:55:07
common_voice,2a44a41d20678a2e39cbcf57a1cd441773fb7bbdc12a3b7f3410846fd5e9704b2121a144424aca31971fda3eb233115b69fe29dd031104b0d02def1ee2b53a8b,Pedro Valadares,human,chiado,carioca,palatalized,0,,2026-05-03 20:02:33
common_voice,3b19f20dc099862d4215c7e120ec44e5758a43388a71a662ae57d1d6ac0704c399a6838c82f2942696fdaa0eb4edc27479cb9a3a382fcc4e261eb6483b950068,Pedro H,human,sibilant,caipira,palatalized,0,,2026-05-03 19:56:22
common_voice,45513c12a37a180005a53ddb64fb6fa5c3cc6a40e198c493c2b7e54102d8c23341977cd7c4a285506fabeb5ea6017fa9b8ced74066750e2b7a47640a77072919,Pedro Valadares,human,sibilant,carioca,palatalized,0,,2026-05-03 20:30:05
common_voice,4978f507e0e955f80dbbcf3006375cdfa85c1297fbd5bf7f38b4f15c332fc43b4c3b9db649f8b52cdf1681a4e9e1f0f68a6bf5d423b98e4f3e8f659bae8e3c1e,Pedro Valadares,human,sibilant,caipira,palatalized,0,,2026-05-03 20:31:27
common_voice,4f56674c81858e0d7a0bcf41ceed2dcfc507c35425521325a183ca6fdce776fc83435600de41c3a13e6183377b31b652bd8a3985189eef864b8f01ea9dd1710a,Pedro Valadares,human,chiado,carioca,palatalized,0,,2026-05-03 20:17:03
common_voice,63850bd9f5d888281e47a93004a0102ecb6716fe914b905b4d3cde0d89eb248ebdfdc7e9499e1c170495e3ddfee31ffd72df908f05ccd6748acc2ad8a4422817,Pedro Valadares,human,,,,0,"Falante com diccao muito estranha, talvez seja melhor desconsiderar",2026-05-03 20:28:17
common_voice,6c292308460098f44b49e45ea6cba7cd11588806b34e7b2c0840ee27885a0cceb6a38551d8802e6bebc0f1863755ba7bd48f9f88079f3fcc5f03bc1075500953,Pedro Valadares,human,sibilant,tap,palatalized,0,,2026-05-03 20:13:10
common_voice,7a204cbdd6d9b08a13e0d2c89dee6a6ff94738d0376fa18b5cdd83cdc902a13fd6188a2b36e485e2dd7d6464ebfff07f0ec3b9ed96ca960b865c245dbcea119b,Pedro Valadares,human,sibilant,caipira,palatalized,0,,2026-05-03 20:32:19
common_voice,7db1423461c3266269ca66620e4c7c52d869e4c1a9e346b3d2a76628cb837c8e3534bdb27b89cb9bf73fe138d8482ef54f33c5db419f7b55ae98d232a67a82f3,Pedro Valadares,human,sibilant,tap,palatalized,0,,2026-05-03 20:06:55
common_voice,80f9d485b120eb746b0367540ace016ffc60ce31be024fcd6b2307b26c25063c4b782bf32f44fc358fa7ca638f3d9c7dd3fb476c0eb1bc7b7325f06e5e899b61,Pedro Valadares,human,sibilant,caipira,palatalized,0,,2026-05-03 20:07:40
common_voice,8112495fb76c2b0ad66bddf5406230bd0369eadd241434e9f346a13c873a8b6f875d5621a6adfd1e7d375bec70f5d98008e936c92321697eeaf7c7b7e7e761f9,Pedro H,human,sibilant,caipira,mixed,0,,2026-05-05 22:46:40
common_voice,8112495fb76c2b0ad66bddf5406230bd0369eadd241434e9f346a13c873a8b6f875d5621a6adfd1e7d375bec70f5d98008e936c92321697eeaf7c7b7e7e761f9,Pedro Valadares,human,sibilant,caipira,non-palatalized,0,,2026-05-03 19:52:55
common_voice,83e809a0a9245aa72dc18f8d0b11a019c1766c7367e6e4689495ec53dadc36400f03f4594658a27143ea7994ef2afbb8f8efa0ec9740b6f8f8b53dbf43e0d997,Pedro Valadares,human,sibilant,carioca,palatalized,0,,2026-05-03 20:20:29
common_voice,85b4e9abf2c31f893e6123d681c6673adfaded63d0dcbf8811448d29156dccc3c52386a1056291f15e032cd91220a14f47105897535953da0b6e81f8423bc94f,Pedro Valadares,human,sibilant,caipira,palatalized,0,,2026-05-03 20:04:13
common_voice,9137f4fb9f04c364643fdab6e709a4dfa2430c9c933e4dd21130ce2d24b64706aff5eb540a352941a212a0c37022e67361a970805c44e303b302ab0b42bba7b2,Pedro Valadares,human,sibilant,tap,non-palatalized,0,,2026-05-03 19:53:31
