dataset,speaker,source,n_annotators,annotators,s_coda,agree_s_coda,r_coda,agree_r_coda,dt_palat,agree_dt_palat
alcaim,AdrianaMalta_F049,human,1,Pedro,chiado,1,carioca,1,palatalized,1
alcaim,Aislam_M001,human,1,Luiz Wagner Pereira Biscainho,chiado,1,carioca,1,palatalized,1
alcaim,Alcione_F018,human,1,Pedro H,chiado,1,,0,,0
alcaim,AnaVarela_F042,human,1,Pedro H,sibilant,1,,0,,0
alcaim,Anesia_F040,human,1,Pedro H,chiado,1,,0,,0
alcaim,Custodia_F033,human,1,Pedro H,chiado,1,,0,,0
alcaim,Diego_M026,human,1,Pedro H,chiado,1,,0,,0
alcaim,EduardoPereira_M016,human,1,Pedro H,chiado,1,,0,,0
alcaim,EduardoTardin_M022,human,1,Pedro H,sibilant,1,,0,,0
alcaim,Elson_M007,human,1,Pedro H,chiado,1,,0,,0
alcaim,HenriqueMafra_M046,human,1,Pedro H,chiado,1,,0,,0
alcaim,IvoneAmitrano_F000,human,1,Pedro H,sibilant,1,,0,,0
alcaim,JacksonBarbosa_M048,human,1,Pedro H,sibilant,1,,0,,0
alcaim,Joel_M017,human,1,Pedro H,sibilant,1,,0,,0
alcaim,JonatasPortugal_M031,human,1,Pedro H,sibilant,1,,0,,0
alcaim,Lila_F017,human,1,Pedro H,sibilant,1,,0,,0
alcaim,Marcio_M011,human,1,Pedro H,sibilant,1,,0,,0
alcaim,MarcosImbuzeiro_M036,human,1,Pedro H,sibilant,1,,0,,0
alcaim,Marta_F009,human,1,Pedro H,sibilant,1,,0,,0
alcaim,PriscilaTerra_F004,human,1,Pedro H,chiado,1,,0,,0
alcaim,SilvanaFerreira_F012,human,1,Pedro H,chiado,1,,0,,0
alcaim,Tulio_M027,human,1,Pedro H,chiado,1,,0,,0
brspeech_df,10107,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
brspeech_df,12249,human,1,Pedro H,sibilant,1,tap,1,palatalized,1
brspeech_df,2961,human,1,Pedro H,chiado,1,carioca,1,palatalized,1
brspeech_df,4367,human,1,Pedro H,sibilant,1,carioca,1,palatalized,1
brspeech_df,5677,human,1,Pedro H,sibilant,1,caipira,1,palatalized,1
