dataset,marker,value,source,n
alcaim,dt_palat,palatalized,human,2
alcaim,r_coda,carioca,human,2
alcaim,s_coda,chiado,human,12
alcaim,s_coda,sibilant,human,10
brspeech_df,dt_palat,non-palatalized,human,1
brspeech_df,dt_palat,palatalized,human,6
brspeech_df,r_coda,caipira,human,3
brspeech_df,r_coda,carioca,human,2
brspeech_df,r_coda,tap,human,2
brspeech_df,s_coda,chiado,human,1
brspeech_df,s_coda,sibilant,human,6
certas_palavras,dt_palat,non-palatalized,human,3
certas_palavras,dt_palat,palatalized,human,1
certas_palavras,r_coda,tap,human,4
certas_palavras,s_coda,sibilant,human,5
cml_tts,dt_palat,palatalized,human,6
cml_tts,r_coda,carioca,human,4
cml_tts,r_coda,tap,human,2
cml_tts,s_coda,chiado,human,1
cml_tts,s_coda,sibilant,human,5
colingpb,dt_palat,non-palatalized,human,11
colingpb,r_coda,carioca,human,11
colingpb,s_coda,mixed,human,11
common_voice,dt_palat,mixed,human,3
common_voice,dt_palat,non-palatalized,human,6
common_voice,dt_palat,palatalized,human,37
common_voice,dt_palat,unsure,human,1
common_voice,r_coda,caipira,human,16
common_voice,r_coda,carioca,human,19
common_voice,r_coda,mixed,human,1
common_voice,r_coda,tap,human,11
common_voice,s_coda,chiado,human,4
common_voice,s_coda,mixed,human,5
common_voice,s_coda,sibilant,human,39
coraa_ted,dt_palat,non-palatalized,human,1
coraa_ted,dt_palat,palatalized,human,14
coraa_ted,r_coda,caipira,human,2
coraa_ted,r_coda,carioca,human,8
coraa_ted,r_coda,tap,human,5
coraa_ted,s_coda,chiado,human,4
coraa_ted,s_coda,mixed,human,2
coraa_ted,s_coda,sibilant,human,9
tagarela,dt_palat,non-palatalized,human,1
tagarela,r_coda,carioca,human,1
tagarela,s_coda,mixed,human,1
thls,s_coda,sibilant,human,1
